width,height,subject_nr,participant_avatar_file,participant_avatar_gender,block_nr,rater_name,rater_file,ratee_type,other_ratee_name,other_ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,attentional_check1,attentional_check2,avatar_selected_self_file,avatar_selected_other_file
1440,900,PurpleSleep,male2,m,0,Dora,female14,you,Tom,male14,practice_neutral,-1,1,1,kind,cruel,kind,kind,cruel,54,cruel,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,0,,1.75E+12,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,1,1,0,confident,self-doubting,self-doubting,confident,self-doubting,40,confident,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,2,0,1,precise,clumsy,precise,clumsy,precise,43,clumsy,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,3,1,1,caring,indifferent,caring,caring,indifferent,61,indifferent,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,4,0,1,organised,disorganised,organised,disorganised,organised,56,organised,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,5,1,1,mature,childish,mature,mature,childish,46,mature,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,6,0,1,wise,naive,wise,naive,wise,50,wise,TRUE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,7,1,0,polite,rude,rude,polite,rude,62,rude,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,8,1,0,active,lazy,lazy,active,lazy,48,active,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,9,0,1,friendly,hostile,friendly,hostile,friendly,38,hostile,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,10,0,0,focused,distracted,distracted,distracted,focused,57,focused,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,11,1,0,diligent,thoughtless,thoughtless,diligent,thoughtless,45,diligent,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,12,1,0,generous,greedy,greedy,generous,greedy,58,greedy,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
1440,900,PurpleSleep,male2,m,1,Chen,female4,you,Tom,male14,neutral,13,0,0,trustworthy,untrustworthy,untrustworthy,untrustworthy,trustworthy,28,untrustworthy,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,,,,
